HOME TEAM,U15B SPSC Cardinals,,,
AWAY TEAM,U15B New United SC,,,
HT H1 GOALS,2,,,
AT H1 GOALS,0,,,
HT H2 GOALS,2,,,
AT H2 GOALS,0,,,
HT OT1 GOALS,0,,,
AT OT1 GOALS,0,,,
HT OT2 GOALS,0,,,
AT OT2 GOALS,0,,,
HT H1 FORMATION,4-3-3,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6,0.5,0.5
,,8,0.65,0.7
,,10,0.35,0.7
,,7,0.95,0.75
,,11,0.05,0.75
,,9,0.5,0.9
AT H1 FORMATION,4-2-2,node,x position,y position
,,1,0.5,0.1
,,2,0.8,0.4
,,3,0.2,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,8A,0.6,0.6
,,8B,0.4,0.6
,,10,0.55,0.85
,,7,0.95,0.7
,,9,0.45,0.95
,,11,0.05,0.7
HT H2 FORMATION,4-3-3,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6,0.5,0.5
,,8,0.65,0.7
,,10,0.35,0.7
,,7,0.95,0.75
,,11,0.05,0.75
,,9,0.5,0.9
AT H2 FORMATION,4-2-2,node,x position,y position
,,1,0.5,0.1
,,2,0.8,0.4
,,3,0.2,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,8A,0.6,0.6
,,8B,0.4,0.6
,,10,0.55,0.85
,,7,0.95,0.7
,,9,0.45,0.95
,,11,0.05,0.7
AT H1 PASSING GRAPH,Node From,Node to,Number of Passes,
,1,4,1,
,1,3,1,
,1,9,1,
,1,10,1,
,2,9,1,
,2,4,2,
,3,5,2,
,3,11,5,
,3,8B,1,
,4,5,1,
,4,2,2,
,4,10,1,
,4,8B,1,
,5,11,3,
,5,3,5,
,5,8B,3,
,5,10,1,
,7,2,1,
,7,8B,1,
,7,10,1,
,8A,2,3,
,8A,4,2,
,8A,8B,4,
,8A,5,1,
,8A,10,1,
,8B,3,1,
,8B,8A,3,
,8B,11,1,
,8B,10,2,
,9,10,2,
,9,11,1,
,10,8A,3,
,10,9,2,
,11,3,2,
,11,9,2,
,11,8B,1,
,11,5,2,
AT H2 PASSING GRAPH,Node From,Node to,Number of Passes,
,2,7,1,
,2,8A,2,
,2,3,1,
,3,8B,2,
,3,11,4,
,4,7,1,
,4,8A,3,
,5,2,1,
,5,8B,2,
,5,3,1,
,5,11,3,
,7,2,4,
,7,8A,2,
,7,10,7,
,8A,10,1,
,8A,9,1,
,8A,8B,1,
,8A,5,1,
,8A,2,1,
,8A,7,3,
,8B,8A,3,
,8B,3,1,
,8B,11,1,
,8B,9,3,
,8B,4,1,
,8B,5,1,
,9,7,1,
,10,9,1,
,10,8B,1,
,11,9,2,
,11,3,2,
