HOME TEAM,Sheboygan,,,,,,,,,,,,,,,,,,,
AWAY TEAM,U15B New United SC,,,,,,,,,,,,,,,,,,,
HT H1 GOALS,2,,,,,,,,,,,,,,,,,,,
AT H1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT H2 GOALS,1,,,,,,,,,,,,,,,,,,,
AT H2 GOALS,1,,,,,,,,,,,,,,,,,,,
HT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT H1 FORMATION,4-4-2,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,8A,0.6,0.6,Midfield,,,,,,,,,,,,,,,
,,8B,0.4,0.6,Midfield,,,,,,,,,,,,,,,
,,10,0.45,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.55,0.95,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
HT H1 FORMATION,4-3-3,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.9,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.1,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.5,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.9,Forward,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
