HOME TEAM,Lawrence,,,,,,,,,,,,,,,,,,,
AWAY TEAM,St. Norbert's,,,,,,,,,,,,,,,,,,,
H1 DURATION,45,,,,,,,,,,,,,,,,,,,
H2 DURATION,45,,,,,,,,,,,,,,,,,,,
OT1 DURATION,0,,,,,,,,,,,,,,,,,,,
OT2 DURATION,0,,,,,,,,,,,,,,,,,,,
HT H1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT H1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT H1 SHOTS,3,,,,,,,,,,,,,,,,,,,
HT H1 SAVES,7,,,,,,,,,,,,,,,,,,,
HT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 GOALS,5,,,,,,,,,,,,,,,,,,,
AT H1 ASSISTS,4,,,,,,,,,,,,,,,,,,,
AT H1 SHOTS,23,,,,,,,,,,,,,,,,,,,
AT H1 SAVES,0,,,,,,,,,,,,,,,,,,,
AT H1 POSSESSION,44,,,,,,,,,,,,,,,,,,,
AT H1 MAX PASSES,17,,,,,,,,,,,,,,,,,,,
AT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT H2 GOALS,0,,,,,,,,,,,,,,,,,,,
HT H2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT H2 SHOTS,2,,,,,,,,,,,,,,,,,,,
HT H2 SAVES,4,,,,,,,,,,,,,,,,,,,
HT H2 POSSESSION,7,,,,,,,,,,,,,,,,,,,
HT H2 YELLOW CARDS,3,,,,,,,,,,,,,,,,,,,
AT H2 GOALS,2,,,,,,,,,,,,,,,,,,,
AT H2 ASSISTS,1,,,,,,,,,,,,,,,,,,,
AT H2 SHOTS,14,,,,,,,,,,,,,,,,,,,
AT H2 SAVES,0,,,,,,,,,,,,,,,,,,,
AT H2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT1 SHOTS,0,,,,,,,,,,,,,,,,,,,
AT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT1 SHOTS,0,,,,,,,,,,,,,,,,,,,
HT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT2 SHOTS,0,,,,,,,,,,,,,,,,,,,
AT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT2 SHOTS,0,,,,,,,,,,,,,,,,,,,
HT H1 FORMATION,4-4-2,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,8A,0.6,0.6,Midfield,,,,,,,,,,,,,,,
,,8B,0.4,0.6,Midfield,,,,,,,,,,,,,,,
,,10,0.45,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.55,0.95,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
AT H1 FORMATION,4-2-3-1,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6A,0.6,0.55,Midfield,,,,,,,,,,,,,,,
,,6B,0.4,0.55,Midfield,,,,,,,,,,,,,,,
,,10,0.5,0.75,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
HT H2 FORMATION,4-4-2,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,8A,0.6,0.6,Midfield,,,,,,,,,,,,,,,
,,8B,0.4,0.6,Midfield,,,,,,,,,,,,,,,
,,10,0.45,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.55,0.95,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
AT H2 FORMATION,4-2-3-1,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6A,0.6,0.55,Midfield,,,,,,,,,,,,,,,
,,6B,0.4,0.55,Midfield,,,,,,,,,,,,,,,
,,10,0.5,0.75,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
HT H1 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,8A,3,1,3,,,,,,,,,,,,,,,,
,8A,8B,3,,,,,,,,,,,,,,,,,
,5,3,,,,,,,,,,,,,,,,,,
,7,8A,,,,,,,,,,,,,,,,,,
,9,10,,,,,,,,,,,,,,,,,,
,4,8A,7,,,,,,,,,,,,,,,,,
,8A,7,2,7,2,8B,3,5,4,,,,,,,,,,,
,8B,5,,,,,,,,,,,,,,,,,,
,4,8B,11,,,,,,,,,,,,,,,,,
,8B,11,,,,,,,,,,,,,,,,,,
,7,8A,,,,,,,,,,,,,,,,,,
,4,8A,,,,,,,,,,,,,,,,,,
,1,5,,,,,,,,,,,,,,,,,,
,3,9,,,,,,,,,,,,,,,,,,
,8A,2,3,,,,,,,,,,,,,,,,,
,4,3,,,,,,,,,,,,,,,,,,
,5,3,,,,,,,,,,,,,,,,,,
,5,8A,,,,,,,,,,,,,,,,,,
,8A,7,,,,,,,,,,,,,,,,,,
,8B,2,,,,,,,,,,,,,,,,,,
,8A,7,,,,,,,,,,,,,,,,,,
,8B,2,,,,,,,,,,,,,,,,,,
,1,5,,,,,,,,,,,,,,,,,,
,5,10,11,8B,8A,11,,,,,,,,,,,,,,
,8A,4,8A,7,,,,,,,,,,,,,,,,
,11,9,,,,,,,,,,,,,,,,,,
,1,3,,,,,,,,,,,,,,,,,,
,5,4,,,,,,,,,,,,,,,,,,
,5,4,2,7,,,,,,,,,,,,,,,,
,7,2,,,,,,,,,,,,,,,,,,
,8B,2,3,,,,,,,,,,,,,,,,,
,10,7,9,,,,,,,,,,,,,,,,,
,7,8A,,,,,,,,,,,,,,,,,,
,8B,2,7,8A,,,,,,,,,,,,,,,,
,8A,4,,,,,,,,,,,,,,,,,,
,3,9,8B,2,,,,,,,,,,,,,,,,
H1 COMMENTS,,,,,,,,,,,,,,,,,,,,
,AT,Really nice combination play in the attacking third,,,,,,,,,,,,,,,,,,
,AT,Players willing and able to take on defenders 1v1 and create opportunities,,,,,,,,,,,,,,,,,,
,HT,Acrobatic goalkeeper, score could have been much worse,,,,,,,,,,,,,,,,,
,HT,Hustle from #20 to create a chance by himself after team was down 5-0,,,,,,,,,,,,,,,,,,
,AT,coach is yelling at players and referee even though his team is up by 5,,,,,,,,,,,,,,,,,,
,AT,Sometimes trying to jam the ball down the middle instead of working the outside,,,,,,,,,,,,,,,,,,
,HT,Other team has significant skill advantage, needed a much more defensive game plan to have a chance,,,,,,,,,,,,,,,,,
AT H2 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,6B,11,,,,,,,,,,,,,,,,,,
,6B,3,6B,,,,,,,,,,,,,,,,,
,6B,3,9,,,,,,,,,,,,,,,,,
,9,10,,,,,,,,,,,,,,,,,,
,4,5,3,6A,6B,4,6B,10,,,,,,,,,,,,
,10,4,2,6A,,,,,,,,,,,,,,,,
,6A,2,10,6B,,,,,,,,,,,,,,,,
,6B,3,11,9,3,11,,,,,,,,,,,,,,
,6B,11,10,11,,,,,,,,,,,,,,,,
,2,7,,,,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,
,6B,3,4,2,6A,7,,,,,,,,,,,,,,
,6A,11,,,,,,,,,,,,,,,,,,
,3,11,9,6B,6A,2,7,6A,4,5,4,5,1,4,6B,4,,,,
,7,10,6A,,,,,,,,,,,,,,,,,
,7,6A,,,,,,,,,,,,,,,,,,
,3,9,10,9,,,,,,,,,,,,,,,,
,6A,4,6B,,,,,,,,,,,,,,,,,
,2,4,5,3,5,6B,,,,,,,,,,,,,,
,6A,6B,11,,,,,,,,,,,,,,,,,
,4,6B,11,10,6B,,,,,,,,,,,,,,,
,4,2,4,5,4,6A,10,6A,2,6A,10,,,,,,,,,
,5,1,,,,,,,,,,,,,,,,,,
,2,4,3,5,4,2,6A,,,,,,,,,,,,,
,6A,11,6A,9,,,,,,,,,,,,,,,,
,6A,7,10,,,,,,,,,,,,,,,,,
,7,6A,,,,,,,,,,,,,,,,,,
,5,4,2,7,6A,4,5,6B,,,,,,,,,,,,
,6B,6A,2,6B,,,,,,,,,,,,,,,,
,2,6A,6B,,,,,,,,,,,,,,,,,
,3,9,,,,,,,,,,,,,,,,,,
,6B,2,9,,,,,,,,,,,,,,,,,
,1,4,10,6B,6A,6B,6A,7,2,6B,6A,7,,,,,,,,
,9,7,10,,,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,
,4,6A,,,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
,6A,4,1,2,4,5,4,6B,6A,7,6A,,,,,,,,,
,6A,10,11,,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
,4,6A,7,,,,,,,,,,,,,,,,,
,4,1,,,,,,,,,,,,,,,,,,
,1,11,,,,,,,,,,,,,,,,,,
,10,11,10,,,,,,,,,,,,,,,,,
,6B,11,9,,,,,,,,,,,,,,,,,
,10,7,,,,,,,,,,,,,,,,,,
,2,6B,,,,,,,,,,,,,,,,,,
,4,1,,,,,,,,,,,,,,,,,,
,10,6B,10,5,1,,,,,,,,,,,,,,,
,4,6B,10,9,7,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
,6A,7,6B,10,7,9,,,,,,,,,,,,,,
,11,10,,,,,,,,,,,,,,,,,,
H2 COMMENTS,,,,,,,,,,,,,,,,,,,,
,AT,Subbed most of the team out about 10 minutes into the half,,,,,,,,,,,,,,,,,,
,HT,"#5 nice overlapping run, then on the next play good quick recognition to switch the field",,,,,,,,,,,,,,,,,,
,HT,"One of center mids cannot get rid of the ball quickly enough, hesitating on passes and defense closes down all opportunities, then he plays the ball to players who are under too much pressure (#13)",,,,,,,,,,,,,,,,,,
,AT,7 player is playing too centrally much of the time and there is no width on that side,,,,,,,,,,,,,,,,,,
,AT,Coach jaring with the referee and other coach,,,,,,,,,,,,,,,,,,
,HT,"Goal kicks are not going far enough, other team sitting on them and pinning them in",,,,,,,,,,,,,,,,,,
,AT,"10 player is dropping too deep, cuasing wide players to move into his space and limiting ability to play wide (#24)",,,,,,,,,,,,,,,,,,
