HOME TEAM,Xavier,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Shawano,,,,,,,,,,,,,,,,,,,
H1 DURATION,45,,,,,,,,,,,,,,,,,,,
H2 DURATION,45,,,,,,,,,,,,,,,,,,,
OT1 DURATION,0,,,,,,,,,,,,,,,,,,,
OT2 DURATION,0,,,,,,,,,,,,,,,,,,,
HT H1 GOALS,4,,,,,,,,,,,,,,,,,,,
HT H1 ASSISTS,1,,,,,,,,,,,,,,,,,,,
HT H1 SHOTS,13,,,,,,,,,,,,,,,,,,,
HT H1 SAVES,0,,,,,,,,,,,,,,,,,,,
HT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 GOALS,1,,,,,,,,,,,,,,,,,,,
AT H1 ASSISTS,1,,,,,,,,,,,,,,,,,,,
AT H1 SHOTS,3,,,,,,,,,,,,,,,,,,,
AT H1 SAVES,3,,,,,,,,,,,,,,,,,,,
AT H1 POSSESSION,2,,,,,,,,,,,,,,,,,,,
AT H1 MAX PASSES,5,,,,,,,,,,,,,,,,,,,
AT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT H2 GOALS,5,,,,,,,,,,,,,,,,,,,
HT H2 ASSISTS,3,,,,,,,,,,,,,,,,,,,
HT H2 SHOTS,17,,,,,,,,,,,,,,,,,,,
HT H2 SAVES,1,,,,,,,,,,,,,,,,,,,
HT H2 YELLOW CARDS,1,,,,,,,,,,,,,,,,,,,
AT H2 GOALS,1,,,,,,,,,,,,,,,,,,,
AT H2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H2 SHOTS,4,,,,,,,,,,,,,,,,,,,
AT H2 SAVES,6,,,,,,,,,,,,,,,,,,,
AT H2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H2 POSSESSION,3,,,,,,,,,,,,,,,,,,,
AT H2 MAX PASSES,4,,,,,,,,,,,,,,,,,,,
HT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT1 SHOTS,0,,,,,,,,,,,,,,,,,,,
AT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT1 SHOTS,0,,,,,,,,,,,,,,,,,,,
HT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT2 SHOTS,0,,,,,,,,,,,,,,,,,,,
AT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT2 SHOTS,0,,,,,,,,,,,,,,,,,,,
HT H1 FORMATION,4/5/2001,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.8,Midfield,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.8,Midfield,,,,,,,,,,,,,,,
AT H1 FORMATION,4/3/2003,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.9,Forward,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.9,Forward,,,,,,,,,,,,,,,
HT H2 FORMATION,4/5/2001,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.8,Midfield,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.8,Midfield,,,,,,,,,,,,,,,
AT H2 FORMATION,4/3/2003,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
