HOME TEAM,Green Bay Notre Dame,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Xavier,,,,,,,,,,,,,,,,,,,
H1 DURATION,45,,,,,,,,,,,,,,,,,,,
H2 DURATION,45,,,,,,,,,,,,,,,,,,,
OT1 DURATION,10,,,,,,,,,,,,,,,,,,,
OT2 DURATION,10,,,,,,,,,,,,,,,,,,,
HT H1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT H1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT H1 SHOTS,2,,,,,,,,,,,,,,,,,,,
HT H1 SAVES,2,,,,,,,,,,,,,,,,,,,
HT H1 POSSESSION,6,,,,,,,,,,,,,,,,,,,
HT H1 MAX PASSES,5,,,,,,,,,,,,,,,,,,,
HT H1 YELLOW CARDS,1,,,,,,,,,,,,,,,,,,,
HT H1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 GOALS,2,,,,,,,,,,,,,,,,,,,
AT H1 ASSISTS,1,,,,,,,,,,,,,,,,,,,
AT H1 SHOTS,6,,,,,,,,,,,,,,,,,,,
AT H1 SAVES,0,,,,,,,,,,,,,,,,,,,
AT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT H2 GOALS,2,,,,,,,,,,,,,,,,,,,
HT H2 ASSISTS,2,,,,,,,,,,,,,,,,,,,
HT H2 SHOTS,7,,,,,,,,,,,,,,,,,,,
HT H2 SAVES,3,,,,,,,,,,,,,,,,,,,
HT H2 POSSESSION,3,,,,,,,,,,,,,,,,,,,
HT H2 MAX PASSES,5,,,,,,,,,,,,,,,,,,,
HT H2 YELLOW CARDS,1,,,,,,,,,,,,,,,,,,,
HT H2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT H2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT H2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H2 SHOTS,4,,,,,,,,,,,,,,,,,,,
AT H2 SAVES,2,,,,,,,,,,,,,,,,,,,
AT H2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT1 SHOTS,3,,,,,,,,,,,,,,,,,,,
HT OT1 SAVES,0,,,,,,,,,,,,,,,,,,,
HT OT1 POSSESSION,1,,,,,,,,,,,,,,,,,,,
HT OT1 MAX PASSES,3,,,,,,,,,,,,,,,,,,,
HT OT1 YELLOW CARDS,1,,,,,,,,,,,,,,,,,,,
HT OT1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT OT1 GOALS,1,,,,,,,,,,,,,,,,,,,
AT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT1 SHOTS,1,,,,,,,,,,,,,,,,,,,
AT OT1 SAVES,1,,,,,,,,,,,,,,,,,,,
AT OT1 POSSESSION,0,,,,,,,,,,,,,,,,,,,
AT OT1 MAX PASSES,1,,,,,,,,,,,,,,,,,,,
AT OT1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT OT1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT2 SHOTS,3,,,,,,,,,,,,,,,,,,,
HT OT2 SAVES,0,,,,,,,,,,,,,,,,,,,
HT OT2 POSSESSION,1,,,,,,,,,,,,,,,,,,,
HT OT2 MAX PASSES,3,,,,,,,,,,,,,,,,,,,
HT OT2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT OT2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT2 SHOTS,1,,,,,,,,,,,,,,,,,,,
AT OT2 SAVES,2,,,,,,,,,,,,,,,,,,,
AT OT2 POSSESSION,1,,,,,,,,,,,,,,,,,,,
AT OT2 MAX PASSES,3,,,,,,,,,,,,,,,,,,,
AT OT2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT OT2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT H1 FORMATION,4-4-2 Diamond,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.5,Midfield,,,,,,,,,,,,,,,
,,8,0.5,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.4,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.6,Midfield,,,,,,,,,,,,,,,
,,9,0.6,0.85,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.6,Midfield,,,,,,,,,,,,,,,
AT H1 FORMATION,'4-5-1,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.8,Forward,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.8,Forward,,,,,,,,,,,,,,,
HT H2 FORMATION,4-4-2 Diamond,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
