HOME TEAM,UWGB,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Wright State,,,,,,,,,,,,,,,,,,,
H1 DURATION,45,,,,,,,,,,,,,,,,,,,
H2 DURATION,45,,,,,,,,,,,,,,,,,,,
OT1 DURATION,0,,,,,,,,,,,,,,,,,,,
OT2 DURATION,0,,,,,,,,,,,,,,,,,,,
HT H1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT H1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT H1 SHOTS,4,,,,,,,,,,,,,,,,,,,
HT H1 SAVES,0,,,,,,,,,,,,,,,,,,,
HT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT H1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT H1 CORNERS,4,,,,,,,,,,,,,,,,,,,
AT H1 GOALS,0,,,,,,,,,,,,,,,,,,,
AT H1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H1 SHOTS,3,,,,,,,,,,,,,,,,,,,
AT H1 SAVES,2,,,,,,,,,,,,,,,,,,,
AT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 POSSESSION,25,,,,,,,,,,,,,,,,,,,
AT H1 MAX PASSES,12,,,,,,,,,,,,,,,,,,,
AT H1 CORNERS,3,,,,,,,,,,,,,,,,,,,
HT H2 GOALS,1,,,,,,,,,,,,,,,,,,,
HT H2 ASSISTS,1,,,,,,,,,,,,,,,,,,,
HT H2 SHOTS,4,,,,,,,,,,,,,,,,,,,
HT H2 SAVES,2,,,,,,,,,,,,,,,,,,,
HT H2 POSSESSION,20,,,,,,,,,,,,,,,,,,,
HT H2 MAX PASSES,10,,,,,,,,,,,,,,,,,,,
HT H2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT H2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT H2 CORNERS,5,,,,,,,,,,,,,,,,,,,
AT H2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT H2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H2 SHOTS,5,,,,,,,,,,,,,,,,,,,
AT H2 SAVES,2,,,,,,,,,,,,,,,,,,,
AT H2 YELLOW CARDS,2,,,,,,,,,,,,,,,,,,,
AT H2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT H2 CORNERS,2,,,,,,,,,,,,,,,,,,,
HT H1 FORMATION,4-2-3-1,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.9,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.1,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6A,0.65,0.55,Midfield,,,,,,,,,,,,,,,
,,6B,0.35,0.55,Midfield,,,,,,,,,,,,,,,
,,10,0.5,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
AT H1 FORMATION,4-5-1,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.8,Forward,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.8,Forward,,,,,,,,,,,,,,,
